date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:13:08	6427/6427	U-----	200	untouched ('')	image/png	etag:%221d505a73a1daa9b%22	https://www.learnrazorpages.com/images/2017-06-02_21-36-05.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/2017-06-02_21-36-05.png	(from https://www.learnrazorpages.com/razor-pages/tag-helpers/)
05:13:08	16732/16732	U-----	200	untouched ('')	image/png	etag:%221d505a73a1df2dc%22	https://www.learnrazorpages.com/images/2017-08-05_21-19-06.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/2017-08-05_21-19-06.png	(from https://www.learnrazorpages.com/razor-pages/view-components)
05:13:08	4274/4274	U-----	200	untouched ('')	image/png	etag:%221d505a73a1da332%22	https://www.learnrazorpages.com/images/2017-08-06_20-06-21.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/2017-08-06_20-06-21.png	(from https://www.learnrazorpages.com/razor-pages/view-components)
05:13:54	7255/7255	U-----	200	untouched ('')	image/png	etag:%221d505a7325e1357%22	https://www.learnrazorpages.com/images/07-08-2017-08-50-21.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/07-08-2017-08-50-21.png	(from https://www.learnrazorpages.com/razor-pages/view-components)
05:13:54	100441/100441	U-----	200	untouched ('')	image/png	etag:%221d505a7325f8759%22	https://www.learnrazorpages.com/images/07-08-2017-09-07-45.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/07-08-2017-09-07-45.png	(from https://www.learnrazorpages.com/razor-pages/view-components)
05:13:54	10602/10602	U-----	200	untouched ('')	image/png	etag:%221d505a73a1d9aea%22	https://www.learnrazorpages.com/images/2017-06-09_20-39-08.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/2017-06-09_20-39-08.png	(from https://www.learnrazorpages.com/razor-pages/routing)
05:14:00	22025/22025	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2004:13:54%20GMT	https://www.learnrazorpages.com/miscellaneous/constraints	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/miscellaneous/constraints.html	(from https://www.learnrazorpages.com/razor-pages/routing)
05:14:03	113844/113844	U-----	200	untouched ('')	image/png	etag:%221d505a731c4c434%22	https://www.learnrazorpages.com/images/07-08-2017-08-24-53.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/07-08-2017-08-24-53.png	(from https://www.learnrazorpages.com/razor-pages/view-components)
05:14:03	14824/14824	U-----	200	untouched ('')	image/png	etag:%221d505a73e49e8e8%22	https://www.learnrazorpages.com/images/26-09-2018-09-16-09.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/images/26-09-2018-09-16-09.png	(from https://www.learnrazorpages.com/advanced/custom-route-conventions)
05:14:03	5268/5268	U-----	200	untouched ('')	image/png	etag:%222b1e686a3dad51:0%22	https://www.mikesdotnetting.com/images/11-09-2018-08-16-16.png	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.mikesdotnetting.com/images/11-09-2018-08-16-16.png	(from https://www.learnrazorpages.com/advanced/custom-route-conventions)
