date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:44:22	42277/42277	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:17%20GMT	https://www.learnrazorpages.com/web-api	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/web-api.html	(from https://www.learnrazorpages.com/)
04:44:23	27169/27169	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:18%20GMT	https://www.learnrazorpages.com/miscellaneous/scaffolding	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/miscellaneous/scaffolding.html	(from https://www.learnrazorpages.com/)
04:44:23	43849/43849	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:18%20GMT	https://www.learnrazorpages.com/publishing/publish-to-iis	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/publishing/publish-to-iis.html	(from https://www.learnrazorpages.com/)
04:44:24	25179/25179	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:20%20GMT	https://www.learnrazorpages.com/advanced/areas	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/advanced/areas.html	(from https://www.learnrazorpages.com/)
04:44:24	19386/19386	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:19%20GMT	https://www.learnrazorpages.com/advanced	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/advanced.html	(from https://www.learnrazorpages.com/)
04:44:25	37114/37114	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:20%20GMT	https://www.learnrazorpages.com/advanced/custom-tag-helpers	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/advanced/custom-tag-helpers.html	(from https://www.learnrazorpages.com/)
04:44:25	24534/24534	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:20%20GMT	https://www.learnrazorpages.com/advanced/custom-constraints	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/advanced/custom-constraints.html	(from https://www.learnrazorpages.com/)
04:44:25	28228/28228	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:21%20GMT	https://www.learnrazorpages.com/advanced/route-parameter-transformers	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/advanced/route-parameter-transformers.html	(from https://www.learnrazorpages.com/)
04:44:26	37997/37997	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:21%20GMT	https://www.learnrazorpages.com/advanced/dependency-injection	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/advanced/dependency-injection.html	(from https://www.learnrazorpages.com/)
04:44:27	29429/29429	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:22%20GMT	https://www.learnrazorpages.com/razor-pages/filters	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/filters.html	(from https://www.learnrazorpages.com/)
04:44:27	35337/35337	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:22%20GMT	https://www.learnrazorpages.com/advanced/razor-class-library	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/advanced/razor-class-library.html	(from https://www.learnrazorpages.com/)
04:44:27	33055/33055	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:22%20GMT	https://www.learnrazorpages.com/advanced/render-partial-to-string	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/advanced/render-partial-to-string.html	(from https://www.learnrazorpages.com/)
04:44:28	23451/23451	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:23%20GMT	https://www.learnrazorpages.com/table-of-contents	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/table-of-contents.html	(from https://www.learnrazorpages.com/)
04:44:28	29345/29345	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2007%20Jun%202019%2003:44:24%20GMT	https://www.learnrazorpages.com/razor-pages/tutorial/bakery/migration	C:/My%20Web%20Sites/ASP.NETCORE%20TUTORIAL/www.learnrazorpages.com/razor-pages/tutorial/bakery/migration.html	(from https://www.learnrazorpages.com/)
